gameId,playId,pocket_collapsed,pocket_time,play_time,oline,dline
2021090900,97,True,3.4,4.2,TB,DAL
2021090900,137,True,2.9,3.6,DAL,TB
2021090900,187,False,3.0,3.0,DAL,TB
2021090900,282,True,3.5,4.2,DAL,TB
2021090900,349,True,2.3,3.6,DAL,TB
2021090900,410,False,2.6,2.6,TB,DAL
2021090900,434,False,2.7,2.7,TB,DAL
2021090900,456,True,3.2,3.5,TB,DAL
2021090900,480,False,4.4,4.4,TB,DAL
2021090900,509,False,3.7,3.7,TB,DAL
2021090900,559,True,2.9,3.4,TB,DAL
2021090900,583,False,3.0,3.0,TB,DAL
2021090900,687,False,3.2,3.2,DAL,TB
2021090900,735,True,4.4,4.8,DAL,TB
2021090900,764,True,2.7,3.5,DAL,TB
2021090900,788,False,2.3,2.3,DAL,TB
2021090900,869,False,3.5,3.5,TB,DAL
2021090900,925,True,2.7,3.8,TB,DAL
2021090900,947,True,4.2,4.8,TB,DAL
2021090900,1078,False,3.7,3.7,DAL,TB
2021090900,1203,False,3.4,3.4,TB,DAL
2021090900,1227,False,2.6,2.6,TB,DAL
2021090900,1267,False,4.1,4.1,TB,DAL
2021090900,1312,True,2.1,3.9,TB,DAL
2021090900,1368,False,3.4,3.4,DAL,TB
2021090900,1392,True,3.7,3.8,DAL,TB
2021090900,1425,True,2.3,6.7,DAL,TB
2021090900,1506,True,2.9,6.2,DAL,TB
2021090900,1563,True,3.2,3.7,DAL,TB
2021090900,1587,False,3.5,3.5,DAL,TB
2021090900,1687,False,4.2,4.2,DAL,TB
2021090900,1726,True,3.0,3.2,DAL,TB
2021090900,1776,False,3.8,3.8,DAL,TB
2021090900,1918,True,3.0,3.2,DAL,TB
2021090900,1940,False,3.7,3.7,DAL,TB
2021090900,2008,False,2.8,2.8,TB,DAL
2021090900,2032,True,2.4,4.4,TB,DAL
2021090900,2088,False,2.9,2.9,DAL,TB
2021090900,2129,False,14.2,14.2,DAL,TB
2021090900,2169,False,3.1,3.1,DAL,TB
2021090900,2211,False,4.1,4.1,DAL,TB
2021090900,2233,True,2.7,3.5,DAL,TB
2021090900,2257,False,3.6,3.6,DAL,TB
2021090900,2279,True,3.5,6.3,DAL,TB
2021090900,2298,True,3.5,4.8,DAL,TB
2021090900,2330,True,4.0,7.0,DAL,TB
2021090900,2397,False,5.2,5.2,TB,DAL
2021090900,2419,True,2.5,2.9,TB,DAL
2021090900,2441,False,5.7,5.7,TB,DAL
2021090900,2530,True,3.2,3.3,DAL,TB
2021090900,2554,True,2.6,3.1,DAL,TB
2021090900,2632,True,2.6,3.9,DAL,TB
2021090900,2656,False,2.8,2.8,DAL,TB
2021090900,2678,True,2.5,4.0,DAL,TB
2021090900,2735,True,2.4,3.1,DAL,TB
2021090900,2780,True,1.7,4.6,DAL,TB
2021090900,2871,False,3.8,3.8,TB,DAL
2021090900,2893,False,2.8,2.8,TB,DAL
2021090900,2915,True,2.8,4.1,TB,DAL
2021090900,3014,True,3.9,4.4,DAL,TB
2021090900,3062,True,2.6,3.6,TB,DAL
2021090900,3110,False,8.7,8.7,TB,DAL
2021090900,3134,True,2.0,3.1,TB,DAL
2021090900,3216,False,3.2,3.2,DAL,TB
2021090900,3261,False,2.8,2.8,DAL,TB
2021090900,3306,True,2.7,2.8,DAL,TB
2021090900,3330,True,1.9,4.6,DAL,TB
2021090900,3364,False,3.6,3.6,DAL,TB
2021090900,3406,True,17.2,17.6,DAL,TB
2021090900,3462,False,2.5,2.5,TB,DAL
2021090900,3588,False,2.9,2.9,TB,DAL
