gameId,playId,pocket_time,oline,dline,quarter,down,yardsToGo,pff_passCoverage
2021090900,97,3.4,TB,DAL,1,3,2,Cover-1
2021090900,137,2.9,DAL,TB,1,1,10,Cover-3
2021090900,187,3.0,DAL,TB,1,2,6,Cover-3
2021090900,282,3.5,DAL,TB,1,1,10,Cover-3
2021090900,349,2.3,DAL,TB,1,3,15,Cover-3
2021090900,410,2.6,TB,DAL,1,2,5,Cover-1
2021090900,434,2.7,TB,DAL,1,1,10,Cover-3
2021090900,456,3.2,TB,DAL,1,2,10,Cover-6
2021090900,480,4.4,TB,DAL,1,1,10,Cover-3
2021090900,509,3.7,TB,DAL,1,1,10,Quarters
2021090900,559,2.9,TB,DAL,1,2,7,Quarters
2021090900,583,3.0,TB,DAL,1,1,5,Cover-1
2021090900,687,3.2,DAL,TB,1,2,2,Cover-1
2021090900,735,4.4,DAL,TB,1,2,3,Cover-2
2021090900,764,2.7,DAL,TB,1,1,10,Quarters
2021090900,788,2.3,DAL,TB,1,2,3,Cover-1
2021090900,869,3.5,TB,DAL,1,2,7,Cover-2
2021090900,925,2.7,TB,DAL,1,2,5,Cover-1
2021090900,947,4.2,TB,DAL,1,3,5,Cover-2
2021090900,1078,3.7,DAL,TB,2,2,8,Quarters
2021090900,1203,3.4,TB,DAL,2,2,8,Cover-2
2021090900,1227,2.6,TB,DAL,2,3,3,2-Man
2021090900,1267,4.1,TB,DAL,2,1,10,Quarters
2021090900,1312,2.1,TB,DAL,2,2,2,Cover-1
2021090900,1368,3.4,DAL,TB,2,1,10,Cover-3
2021090900,1392,3.7,DAL,TB,2,1,10,Cover-1
2021090900,1425,2.3,DAL,TB,2,1,10,Cover-3
2021090900,1506,2.9,DAL,TB,2,1,10,Cover-3
2021090900,1563,3.2,DAL,TB,2,2,7,Cover-3
2021090900,1587,3.5,DAL,TB,2,3,3,Cover-1
2021090900,1687,4.2,DAL,TB,2,2,8,Cover-3
2021090900,1726,3.0,DAL,TB,2,3,8,Cover-0
2021090900,1776,3.8,DAL,TB,2,2,3,Cover-0
2021090900,1918,3.0,DAL,TB,2,2,6,Cover-3
2021090900,1940,3.7,DAL,TB,2,3,6,Quarters
2021090900,2008,2.8,TB,DAL,2,1,10,Cover-2
2021090900,2032,2.4,TB,DAL,2,1,10,2-Man
2021090900,2088,2.9,DAL,TB,2,1,10,Quarters
2021090900,2129,14.2,DAL,TB,2,1,10,Quarters
2021090900,2169,3.1,DAL,TB,2,1,10,Quarters
2021090900,2211,4.1,DAL,TB,2,2,3,Quarters
2021090900,2233,2.7,DAL,TB,2,3,3,Quarters
2021090900,2257,3.6,DAL,TB,2,1,10,Quarters
2021090900,2279,3.5,DAL,TB,2,2,10,Quarters
2021090900,2298,3.5,DAL,TB,2,3,22,Quarters
2021090900,2330,4.0,DAL,TB,2,3,32,Quarters
2021090900,2397,5.2,TB,DAL,2,1,10,2-Man
2021090900,2419,2.5,TB,DAL,2,2,10,Prevent
2021090900,2441,5.7,TB,DAL,2,3,10,Prevent
2021090900,2530,3.2,DAL,TB,3,2,10,Cover-2
2021090900,2554,2.6,DAL,TB,3,3,5,Cover-3
2021090900,2632,2.6,DAL,TB,3,3,4,Bracket
2021090900,2656,2.8,DAL,TB,3,1,10,Cover-2
2021090900,2678,2.5,DAL,TB,3,2,10,Quarters
2021090900,2735,2.4,DAL,TB,3,2,4,Cover-3
2021090900,2780,1.7,DAL,TB,3,2,5,Red Zone
2021090900,2871,3.8,TB,DAL,3,1,10,Cover-1
2021090900,2893,2.8,TB,DAL,3,2,10,Cover-3
2021090900,2915,2.8,TB,DAL,3,3,10,Cover-2
2021090900,3014,3.9,DAL,TB,3,1,10,Cover-2
2021090900,3062,2.6,TB,DAL,3,1,10,Cover-1
2021090900,3110,8.7,TB,DAL,3,2,8,Quarters
2021090900,3134,2.0,TB,DAL,3,3,6,Cover-0
2021090900,3216,3.2,DAL,TB,3,1,10,Cover-6
2021090900,3261,2.8,DAL,TB,3,1,10,Cover-3
2021090900,3306,2.7,DAL,TB,3,2,10,Cover-6
2021090900,3330,1.9,DAL,TB,3,3,1,Cover-1
2021090900,3364,3.6,DAL,TB,3,1,10,Cover-6
2021090900,3406,17.2,DAL,TB,3,3,4,Cover-1
2021090900,3462,2.5,TB,DAL,3,1,10,Cover-3
2021090900,3588,2.9,TB,DAL,4,3,2,Quarters
2021090900,3633,3.9,TB,DAL,4,2,10,Cover-2
2021090900,3655,2.5,TB,DAL,4,3,10,Cover-3
2021090900,3724,3.6,DAL,TB,4,2,8,Cover-1
2021090900,3746,2.9,DAL,TB,4,3,8,Quarters
2021090900,3793,4.2,TB,DAL,4,1,10,Cover-2
2021090900,3862,3.5,TB,DAL,4,2,4,Cover-1
2021090900,3909,3.2,TB,DAL,4,1,15,Cover-2
2021090900,3933,3.1,TB,DAL,4,2,6,Cover-2
2021090900,3962,3.6,TB,DAL,4,1,10,Cover-1
2021090900,4094,3.1,DAL,TB,4,2,9,Cover-2
2021090900,4141,3.2,DAL,TB,4,3,1,Cover-3
2021090900,4189,4.2,DAL,TB,4,1,10,Cover-2
2021090900,4211,2.6,DAL,TB,4,2,10,Cover-2
2021090900,4246,3.6,DAL,TB,4,2,20,Quarters
2021090900,4287,2.3,DAL,TB,4,3,11,Bracket
2021090900,4393,2.9,DAL,TB,4,3,6,Quarters
2021090900,4428,3.5,DAL,TB,4,3,16,Quarters
2021090900,4538,3.0,TB,DAL,4,2,2,Cover-1
2021090900,4560,3.0,TB,DAL,4,3,2,Cover-3
2021090900,4624,3.5,TB,DAL,4,1,15,Cover-2
2021090900,4653,3.3,TB,DAL,4,2,9,Cover-3
2021090900,4677,3.9,TB,DAL,4,1,10,Cover-1
2021090900,4699,3.7,TB,DAL,4,2,10,Cover-1
2021090900,4728,2.5,TB,DAL,4,1,10,2-Man
2021090900,4750,3.4,TB,DAL,4,2,10,2-Man
2021090900,4772,2.8,TB,DAL,4,3,10,Cover-0
2021091200,56,3.7,ATL,PHI,1,1,10,Cover-2
2021091200,122,2.5,ATL,PHI,1,2,6,Cover-2
2021091200,146,2.3,ATL,PHI,1,3,5,Cover-3
2021091200,176,2.6,ATL,PHI,1,1,10,Cover-3
2021091200,231,3.1,ATL,PHI,1,3,7,Cover-3
2021091200,303,2.7,ATL,PHI,1,2,7,Cover-3
2021091200,348,3.2,ATL,PHI,1,2,3,Red Zone
2021091200,370,3.1,ATL,PHI,1,3,3,Red Zone
2021091200,605,3.2,PHI,ATL,1,3,4,Cover-1
2021091200,705,2.3,ATL,PHI,1,1,10,Cover-6
2021091200,750,3.5,ATL,PHI,1,1,10,Cover-2
2021091200,821,2.9,ATL,PHI,1,2,9,Quarters
2021091200,843,2.3,ATL,PHI,1,3,9,Quarters
2021091200,864,2.5,ATL,PHI,1,4,1,Cover-3
2021091200,966,2.8,ATL,PHI,1,1,2,Red Zone
2021091200,1023,2.8,ATL,PHI,1,1,12,Cover-3
2021091200,1085,2.6,ATL,PHI,2,3,9,Red Zone
2021091200,1153,4.2,PHI,ATL,2,1,10,Cover-3
2021091200,1182,4.6,PHI,ATL,2,1,10,Cover-3
2021091200,1206,3.8,PHI,ATL,2,1,10,Cover-2
2021091200,1249,3.0,PHI,ATL,2,3,4,Cover-1
2021091200,1271,3.6,PHI,ATL,2,4,4,Cover-2
2021091200,1326,2.7,ATL,PHI,2,1,20,Cover-3
2021091200,1459,3.0,ATL,PHI,2,2,7,Cover-2
2021091200,1494,3.2,ATL,PHI,2,3,21,Cover-2
2021091200,1558,3.3,PHI,ATL,2,2,4,Cover-2
2021091200,1582,3.0,PHI,ATL,2,1,10,Cover-2
2021091200,1606,3.9,PHI,ATL,2,2,6,Cover-2
2021091200,1630,3.5,PHI,ATL,2,1,10,Cover-3
2021091200,1732,3.6,PHI,ATL,2,1,20,Cover-2
2021091200,1792,3.9,PHI,ATL,2,2,28,Cover-3
2021091200,1991,3.7,PHI,ATL,2,1,10,Cover-2
2021091200,2020,2.5,PHI,ATL,2,2,1,Cover-2
2021091200,2063,4.5,PHI,ATL,2,1,10,Cover-3
2021091200,2121,3.9,PHI,ATL,2,2,11,Cover-3
2021091200,2145,3.5,PHI,ATL,2,3,5,Cover-2
2021091200,2214,4.0,PHI,ATL,2,2,6,Cover-2
2021091200,2275,2.2,PHI,ATL,2,1,15,Cover-3
2021091200,2321,3.7,PHI,ATL,2,3,5,Miscellaneous
2021091200,2399,4.5,PHI,ATL,2,1,9,Bracket
2021091200,2631,2.9,PHI,ATL,3,3,5,Cover-1
2021091200,2675,2.5,ATL,PHI,3,1,10,Cover-6
2021091200,2720,3.2,ATL,PHI,3,3,6,Cover-6
2021091200,2767,2.8,PHI,ATL,3,1,10,Cover-2
2021091200,2906,3.2,PHI,ATL,3,2,7,Cover-2
2021091200,2935,3.2,PHI,ATL,3,3,2,Cover-0
2021091200,2978,2.9,ATL,PHI,3,1,10,Quarters
2021091200,3045,2.6,ATL,PHI,3,1,20,Cover-3
2021091200,3110,3.3,ATL,PHI,3,3,5,Cover-6
2021091200,3145,3.8,ATL,PHI,3,3,15,Cover-6
2021091200,3383,3.6,ATL,PHI,3,2,10,Cover-3
2021091200,3416,3.0,ATL,PHI,3,1,10,Cover-6
2021091200,3480,3.0,ATL,PHI,4,2,11,Quarters
2021091200,3502,3.8,ATL,PHI,4,3,11,Cover-3
2021091200,3599,4.6,PHI,ATL,4,3,9,Cover-2
2021091200,3659,3.2,PHI,ATL,4,2,10,Cover-3
2021091200,3728,3.5,ATL,PHI,4,1,10,Cover-2
2021091200,3752,3.7,ATL,PHI,4,2,4,Cover-2
2021091200,3776,4.2,ATL,PHI,4,1,10,Cover-3
2021091200,3798,3.9,ATL,PHI,4,2,10,Cover-3
2021091200,3820,2.2,ATL,PHI,4,3,10,Quarters
2021091200,3928,3.4,PHI,ATL,4,3,8,Cover-2
2021091200,3988,3.1,ATL,PHI,4,1,10,Cover-2
2021091200,4017,3.1,ATL,PHI,4,2,4,Cover-6
2021091200,4041,3.2,ATL,PHI,4,1,10,Quarters
2021091200,4112,2.2,ATL,PHI,4,4,10,Cover-2
2021091200,4131,7.0,PHI,ATL,4,1,10,Cover-2
2021091200,4240,4.7,ATL,PHI,4,1,10,Quarters
